"","id2","exp","Exposure","cg00000029","cg06255955","cg02035866"
"44",1,0,"CA",0.115871405832704,0.0295543108223303,0.257511818792654
"33",2,0,"CA",0.113956209519759,0.0463459296558908,0.0191912269012682
"34",3,0,"CA",0.140082343765872,0.0304531233336524,0.229746155263744
"1",4,1,"O3",0.174170700190976,0.034329245704387,0.0195551498381121
"31",5,1,"O3",0.0641054715507261,0.0279243175465054,0.0191898790506894
"3",6,0,"CA",0.111536018761388,0.0362578839803775,0.0219419676915518
"29",7,0,"CA",0.122656982651634,0.0285722251160384,0.0220337035407871
"15",8,1,"O3",0.0811308226547451,0.0264321764328229,0.0223456289940383
"7",9,0,"CA",0.0999876759636084,0.0349495684635141,0.0234244247245153
"12",10,1,"O3",0.0686376892491641,0.0232290194817683,0.0198145565776459
"19",11,1,"O3",0.182377705817595,0.0338643014265503,0.022936765381519
"18",12,0,"CA",0.0880985386368745,0.0278173019907923,0.0257781749595803
"41",13,1,"O3",0.193646746017449,0.221467662459428,0.0190990024869472
"17",14,1,"O3",0.107161688404976,0.0351234750556877,0.0216909709395888
"21",15,1,"O3",0.121802098005262,0.0222822745459322,0.0204006739631031
"13",16,1,"O3",0.115034354775907,0.0234114562172528,0.0178395817873666
"28",17,1,"O3",0.115471780342075,0.0267947749502681,0.0182731905595792
